date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:17:53	155452/155452	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22616d3962-25f3c%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helveticaneue-light.eot	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helveticaneue-light.eot	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:53	155452/155452	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22616d3962-25f3c%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helveticaneue-light.eot?	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helveticaneue-lightd41d.eot	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:53	61324/61324	---M--	200	added ('OK')	font/woff	etag:%22616d3962-ef8c%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helveticaneue-light.woff	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helveticaneue-light.woff	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:54	155252/155252	---M--	200	added ('OK')	application/octet-stream	etag:%22616d3962-25e74%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helveticaneue-light.ttf	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helveticaneue-light.ttf	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:54	399135/399135	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22616d3962-6171f%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helveticaneue-light.svg	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helveticaneue-light.svg	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:54	4272/4272	---M--	200	added ('OK')	image/png	etag:%22616d3962-10b0%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/count_bg.png	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/count_bg.png	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:54	11347/11347	---M--	200	added ('OK')	image/jpeg	etag:%22616d3962-2c53%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/check_bg.jpg	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/check_bg.jpg	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:55	3441/3441	---M--	200	added ('OK')	image/png	etag:%22616d3962-d71%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/radio_bg.png	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/radio_bg.png	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:55	11200/11200	---M--	200	added ('OK')	image/jpeg	etag:%22616d3962-2bc0%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/select_bg.jpg	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/select_bg.jpg	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:55	2335/2335	---M--	200	added ('OK')	image/jpeg	etag:%22616d3962-91f%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/count_bg.jpg	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/count_bg.jpg	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:55	11382/11382	---M--	200	added ('OK')	image/jpeg	etag:%22616d3962-2c76%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/select_bg1.jpg	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/select_bg1.jpg	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:56	2057/2057	---M--	200	added ('OK')	image/png	etag:%22616d3962-809%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/count_bg1.png	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/images/count_bg1.png	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
